时间,收盘点位,市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2021-07-21,33795.2645,6603316321370.81,6271333304375,39.5927,0.8164,38.931,29.8311,21.5638
2021-07-20,34029.1316,6651831774491.509,6316678674442,39.8836,0.8269,38.9206,29.83,21.5638
2021-07-19,33937.6015,6630804928887.279,6298830124990,39.7576,0.821,38.9085,29.8258,21.5638
2021-07-16,33836.3733,6609310391128.49,6270265023951,39.6287,0.8171,38.9072,29.8216,21.5638
2021-07-15,34478.3384,6735967528427.54,6390798732427,40.3881,0.8449,38.9072,29.8161,21.5354
2021-07-14,33864.7282,6609665143844.041,6268022288687,39.6308,0.8179,38.886,29.8106,21.5354
2021-07-13,33974.0822,6626734180344.6,6280357319875,39.7332,0.8205,38.8748,29.81,21.5354
2021-07-12,33372.3871,6497857377209.261,6154646728941,38.9604,0.8029,38.8745,29.8095,21.5354
2021-07-09,33178.8343,6452188084059.59,6114479544371,38.6866,0.7972,38.8025,29.8077,21.5354
2021-07-08,33694.1483,6570509145863.229,6224919352498,39.396,0.8133,38.8745,29.8059,21.5327
2021-07-07,34348.906,6690510437917.83,6335834467814,40.1156,0.837,38.8025,29.7964,21.5327
2021-07-06,34243.6707,6670665423059.62,6311940600442,39.9966,0.8305,38.7861,29.7869,21.5327
2021-07-05,34255.9265,6678976012454.84,6320780489365,40.0464,0.8328,38.7669,29.7772,21.5327
2021-07-02,34613.7239,6741575712366.939,6382278742692,40.4217,0.8462,38.7655,29.7675,21.5327
2021-07-01,35908.8487,7005579322831.96,6636746972807,42.0047,0.8873,38.7655,29.7628,21.5212
2021-06-30,35493.4535,6920261125946.309,6550385900430,41.4931,0.8738,38.7268,29.7582,21.5212
2021-06-29,35498.8212,6914821896867.36,6543330057618,41.4605,0.8731,38.7034,29.7581,21.5212
2021-06-28,36144.6807,7040030779773.311,6664936554698,42.2112,0.8904,38.702,29.7579,21.5212
2021-06-25,35652.7048,6947123678844.971,6585016662217,41.6542,0.8798,38.692,29.7557,21.5212
2021-06-24,35040.5871,6820889855641.261,6471119686869,40.8973,0.8586,38.692,29.7534,21.51
2021-06-23,34732.2885,6760275722297.949,6409392554830,40.5339,0.8509,38.691,29.7518,21.51
2021-06-22,35319.7272,6885867022335.139,6537339710221,41.2869,0.8691,38.6721,29.7502,21.51
2021-06-21,35258.4441,6867420776708.16,6523855417494,41.1763,0.8655,38.662,29.7485,21.51
2021-06-18,35480.1072,6912477242837.549,6558029421414,41.4464,0.8735,38.653,29.7468,21.51
2021-06-17,36233.1249,7058527813002.71,6697421002894,42.3221,0.8917,38.653,29.742,21.5008
2021-06-16,36185.9144,7045983174910.72,6683637358004,42.2469,0.8913,38.6502,29.7372,21.5008
2021-06-15,36637.319,7135441138018.741,6768319701175,42.7833,0.899,38.642,29.7293,21.5008
2021-06-11,36800.6495,7233650780364.878,6862048216600,42.4336,0.8942,38.5906,29.7213,21.5008
2021-06-10,37641.6991,7402645333650.402,7021143150400,43.425,0.908,38.5897,29.7195,21.5008
2021-06-09,37187.3392,7305847887732.09,6921406055870,42.8571,0.9009,38.5897,29.7178,21.5
2021-06-08,36965.8039,7269897593618.26,6888396875322,42.6462,0.8986,38.5865,29.7149,21.5
2021-06-07,38275.5238,7540017261512.9,7144722391343,44.2308,0.9177,38.5747,29.712,21.5
2021-06-04,38384.4586,7533012241165.18,7137222301892,44.1897,0.9174,38.564,29.7071,21.5
2021-06-03,37992.1333,7451854257521.7,7035712359073,43.7136,0.9117,38.5631,29.7023,21.5
2021-06-02,37958.4851,7444066994972.73,7027226569107,43.6679,0.9108,38.5631,29.6991,21.486
