时间,收盘点位,市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2021-06-28,5251.76,51805808384099.01,40124030578142,14.8531,0.6343,19.3385,13.6366,11.1835
2021-06-25,5239.97,51793843861159.97,40072587505151,14.8496,0.6339,19.3602,13.6365,11.1814
2021-06-24,5155.97,51029930458431.21,39488343835925,14.6306,0.6156,19.3602,13.6353,11.1814
2021-06-23,5147.39,50918309897053.76,39384161814493,14.5986,0.614,19.3602,13.6341,11.1814
2021-06-22,5122.16,50760305421378.37,39270885863461,14.5533,0.6093,19.3602,13.6337,11.1814
2021-06-21,5090.39,50432083556207.44,38985959649707,14.4592,0.6003,19.3602,13.6333,11.1814
2021-06-18,5102.47,50551818713576.65,38997932021522,14.4935,0.6035,19.3656,13.6327,11.1805
2021-06-17,5101.89,50573062807567.61,39045014125604,14.4996,0.6044,19.3656,13.6322,11.1805
2021-06-16,5080.49,50500204296347.86,39003863379146,14.4787,0.602,19.3656,13.6316,11.1805
2021-06-15,5166.56,51174050628703.04,39531909625852,14.6719,0.6213,19.3656,13.631,11.1805
2021-06-11,5224.7,50335665420236.3,39245523402721,14.3474,0.5889,19.3656,13.6288,11.1805
2021-06-10,5271.47,50690804559339.87,39555584565436,14.4486,0.5994,19.3682,13.6265,11.177
2021-06-09,5236.45,50433265608652.22,39335349486499,14.3752,0.5925,19.3682,13.6251,11.177
2021-06-08,5232.12,50363943322068.97,39258340917323,14.3554,0.5903,19.3682,13.6236,11.177
2021-06-07,5277.63,50688053071301.02,39574269894209,14.4478,0.5989,19.3682,13.6232,11.177
2021-06-04,5282.28,50704901217743.77,39595514643492,14.4526,0.5995,19.3682,13.6228,11.177
2021-06-03,5255.29,50490082999174.58,39405383438794,14.3914,0.5941,19.4069,13.6206,11.1763
2021-06-02,5289.97,50770156416894.625,39588060111689,14.4712,0.6014,19.4069,13.6183,11.1763
2021-06-01,5341.68,51158342338068.4,39887661704598,14.5818,0.6112,19.4069,13.6172,11.1763
2021-05-31,5331.57,51071820231337.93,39825301585284,14.5572,0.6086,19.4069,13.6161,11.1763
2021-05-28,5321.09,51093675986654.375,39816834847935,14.5634,0.6092,19.4069,13.6156,11.1763
2021-05-27,5338.23,51197507145060.46,39923980459754,14.593,0.6119,19.4685,13.6152,11.1761
2021-05-26,5320.59,51077580311847.45,39815172129262,14.5588,0.609,19.4685,13.6146,11.1761
2021-05-25,5318.48,51012819587109.27,39784996082929,14.5404,0.6082,19.4685,13.6141,11.1761
2021-05-24,5155.59,49589338787445.65,38631714581137,14.1346,0.5672,19.4685,13.614,11.1761
2021-05-21,5134.15,49423551013172.95,38467963500666,14.0874,0.5572,19.4685,13.614,11.1761
2021-05-20,5186.41,49869589527655.3,38815402588683,14.2145,0.5762,19.5119,13.6137,11.1751
2021-05-19,5172.27,49778876695547.25,38742095048173,14.1887,0.5735,19.5119,13.6133,11.1751
2021-05-18,5187.6,49974218811616.33,38897585569163,14.2443,0.5793,19.5119,13.6098,11.1751
2021-05-17,5184.99,49898095702608.07,38828042683142,14.2226,0.5772,19.5119,13.6064,11.1751
2021-05-14,5110.59,49318982339609.4,38308613340762,14.0576,0.5512,19.5119,13.606,11.1751
2021-05-13,4992.97,48301165595163.62,37518078519984,13.7675,0.5194,19.5287,13.6057,11.1737
2021-05-12,5044.55,48751692476974.19,37843935055497,13.8959,0.5339,19.5287,13.6049,11.1737
2021-05-11,5023.06,48501190587453.625,37646012129020,13.8245,0.5269,19.5287,13.604,11.1737
2021-05-10,4992.42,48253278529945.09,37397963734181,13.7538,0.5188,19.5287,13.6029,11.1737
2021-05-07,4996.05,48187847955661.98,37301141711580,13.7352,0.5164,19.5287,13.6018,11.1737
2021-05-06,5061.12,48596819376045.47,37668213446358,13.8517,0.5293,19.5785,13.5995,11.1721
2021-04-30,5123.49,49023500623622.6,37997377771307,13.9733,0.5394,19.5785,13.5973,11.1721
2021-04-29,5164.17,49546784947681.34,38326259412656,14.4135,0.5954,19.5785,13.596,11.1721
2021-04-28,5119.24,49148889942532.62,38014816218219,14.6339,0.6127,19.5785,13.5947,11.1721
2021-04-27,5090.52,48928988507206.03,37808052791001,14.633,0.6126,19.5785,13.5926,11.1721
2021-04-26,5077.24,48841743885732.24,37708590654193,14.6916,0.6192,19.5868,13.5904,11.1676
2021-04-23,5135.45,49380250542524.14,38121506018483,14.8851,0.6337,19.5868,13.5898,11.1676
2021-04-22,5089.24,49079479777202.38,37832597690995,14.8129,0.6282,19.5868,13.5892,11.1676
2021-04-21,5098.74,49202225898004.73,37918851347314,14.8566,0.6312,19.5868,13.5888,11.1676
2021-04-20,5083.37,49140463120807.73,37855563526601,14.8527,0.6306,19.5868,13.5884,11.1676
2021-04-19,5087.02,49234096694385.52,37898871800028,14.9012,0.6351,19.5927,13.5882,11.1606
2021-04-16,4966.18,48277036363297.43,37116921077297,14.6376,0.615,19.5927,13.5879,11.1606
2021-04-15,4948.97,48048761656389.47,36919367766134,14.7801,0.6262,19.5927,13.5869,11.1606
2021-04-14,4980.63,48344722553470.41,37150760500543,14.8848,0.6333,19.5927,13.5859,11.1606
2021-04-13,4939.64,48068900881281.734,36908711769369,14.7994,0.6273,19.5927,13.5857,11.1606
2021-04-12,4947.75,48157121821689.63,37015033646093,14.8531,0.6308,19.5981,13.5855,11.1588
2021-04-09,5035.34,48776079980098.88,37509491319210,15.0737,0.6476,19.5981,13.5833,11.1588
2021-04-08,5112.21,49424049613677.02,38029272263085,15.274,0.6632,19.5981,13.581,11.1588
2021-04-07,5103.74,49342065561493.01,37964751514538,15.2486,0.6616,19.5981,13.5797,11.1588
2021-04-06,5140.34,49592254398324.67,38203632582348,15.3259,0.669,19.5981,13.5783,11.1588
2021-04-02,5161.56,49730829395912.86,38368284633100,15.3733,0.6735,19.6034,13.5776,11.1579
2021-04-01,5110.78,49381196393588.41,38016530587022,15.2692,0.6631,19.6034,13.5769,11.1579
2021-03-31,5048.36,48935215522491.22,37619131999880,15.1337,0.6543,19.6034,13.5767,11.1579
2021-03-30,5094.73,49222845617457.61,37886018655381,15.4,0.6761,19.6034,13.5765,11.1579
2021-03-29,5046.88,48811752555471.56,37533000844051,15.3184,0.668,19.6034,13.5753,11.1579
2021-03-26,5037.99,48622011447773.43,37382497788897,15.541,0.6919,19.6068,13.5741,11.1568
2021-03-25,4926.35,47726792420770.05,36665365449281,15.2937,0.6658,19.6068,13.5739,11.1568
2021-03-24,4928.69,47768773389873.71,36704270382102,15.3201,0.6686,19.6068,13.5736,11.1568
2021-03-23,5009.25,48467549351931,37235339869005,15.5388,0.6904,19.6068,13.5734,11.1568
2021-03-22,5057.15,48880751929269.69,37561043816098,15.6674,0.705,19.6068,13.5732,11.1568
2021-03-19,5007.09,48410333157151.15,37209032110414,15.5478,0.6931,19.6248,13.573,11.1561
2021-03-18,5141.77,49642243200492.58,38173669360313,15.9484,0.7288,19.6248,13.5729,11.1561
2021-03-17,5100.86,49345664176592.13,37895194192828,15.8574,0.7223,19.6248,13.5724,11.1561
2021-03-16,5079.36,49313029684497.02,37811522189920,15.8496,0.722,19.6248,13.572,11.1561
2021-03-15,5035.54,48880962650942.164,37495583204958,15.7232,0.7119,19.6248,13.571,11.1561
2021-03-12,5146.38,49633432051566.5,38145388780977,15.9806,0.7317,19.6268,13.57,11.1529
2021-03-11,5128.22,49493700274784.84,38004567864178,15.9355,0.7282,19.6268,13.5688,11.1529
2021-03-10,5003.61,48356124843758.59,37127078616768,15.5836,0.6977,19.6268,13.5676,11.1529
2021-03-09,4971,48207770660367.32,36970539443348,15.5358,0.6914,19.6268,13.5666,11.1529
2021-03-08,5080.02,49127442246412.46,37674901995734,15.8322,0.7198,19.6268,13.5657,11.1529
2021-03-05,5262.8,50610907764344.42,38891522067758,16.3102,0.7461,19.6449,13.5638,11.1524
2021-03-04,5280.71,50660934814727.43,38938104003913,16.3271,0.7465,19.6449,13.5619,11.1524
2021-03-03,5452.21,51998092128970.766,40032109909639,16.7581,0.7614,19.6449,13.5605,11.1524
2021-03-02,5349.63,50920833429803.38,39268266354799,16.4109,0.7487,19.6449,13.5592,11.1524
2021-03-01,5418.78,51613538633515.92,39786569929004,16.6367,0.7577,19.6449,13.5588,11.1524
2021-02-26,5336.76,51000125677736.66,39224823533709,16.4389,0.7496,19.6656,13.5585,11.1495
2021-02-25,5469.56,52227697905371.66,40134238893765,16.8346,0.7646,19.6656,13.5583,11.1495
2021-02-24,5437.57,51806339114938.7,39859511408272,16.6988,0.7593,19.6656,13.5581,11.1495
2021-02-23,5579.67,53125110075788.56,40911249442296,17.1239,0.7712,19.6656,13.5579,11.1495
2021-02-22,5597.33,53285800939897.47,41009769460841,17.1757,0.7719,19.6656,13.5577,11.1495
2021-02-19,5778.84,54566403175501.79,42142189345219,17.5885,0.7799,19.6674,13.556,11.1474
2021-02-18,5768.38,54462112912557.59,42056493673332,17.5549,0.7793,19.6674,13.5543,11.1474
2021-02-10,5807.72,54688692276133.7,42250044700214,17.6279,0.7803,19.6674,13.5542,11.1474
2021-02-09,5686.25,53575977912398.69,41359042646139,17.2692,0.7756,19.6674,13.554,11.1474
2021-02-08,5564.56,52576094436010.66,40535919510761,16.9469,0.7688,19.6674,13.5532,11.1474
2021-02-05,5483.41,51972043005685.36,39935154562831,16.7522,0.7625,19.6895,13.5524,11.147
2021-02-04,5473.95,51788660286593.734,39811893148619,16.6931,0.7608,19.6895,13.5513,11.147
2021-02-03,5485.2,51887244390930.29,39865368622035,16.8346,0.7657,19.6895,13.5502,11.147
2021-02-02,5501.09,52086523404868.914,39975205231128,16.8993,0.7675,19.6895,13.5488,11.147
2021-02-01,5417.65,51455168876073.234,39424547145847,16.705,0.7614,19.6895,13.5473,11.147
2021-01-29,5351.96,50957652206932.78,38990333019800,16.5435,0.757,19.6952,13.5471,11.146
2021-01-28,5377.14,51093304157768.52,39116224705109,16.5875,0.7579,19.6952,13.5469,11.146
2021-01-27,5528,52266332000457.75,40048190536383,16.9684,0.7688,19.6952,13.5436,11.146
2021-01-26,5512.97,52126759837949.04,39989264123460,16.9231,0.7682,19.6952,13.5404,11.146
2021-01-25,5625.92,52994120474807.1,40694416535873,17.2046,0.7728,19.6952,13.5396,11.146
2021-01-22,5569.78,52470831097316.52,40263716246180,17.0492,0.7702,19.7037,13.5388,11.1423
2021-01-21,5564.97,52618572776518.69,40346666246263,17.0972,0.7712,19.7037,13.5387,11.1423
2021-01-20,5476.43,51946441176004.72,39665030971342,16.8788,0.7677,19.7037,13.5387,11.1423
2021-01-19,5437.52,51728373136070.21,39449048065337,16.808,0.7661,19.7037,13.5365,11.1423
2021-01-18,5518.52,52270965716692.77,39936895778449,16.9843,0.7697,19.7037,13.5343,11.1423
2021-01-15,5458.08,51895417385174.086,39623871560771,16.7319,0.7634,19.7108,13.5332,11.1409
2021-01-14,5470.46,51936109952168.19,39718396288445,16.745,0.7638,19.7108,13.5321,11.1409
2021-01-13,5577.97,52721533408914.51,40345549677373,16.9982,0.7698,19.7108,13.5309,11.1409
2021-01-12,5596.35,52782717281151.7,40447495790764,17.0179,0.77,19.7108,13.5298,11.1409
2021-01-11,5441.16,51477275710732.64,39423792626663,16.597,0.7605,19.7108,13.5293,11.1409
2021-01-08,5495.43,51938926538391.336,39811957443857,16.8601,0.768,19.7111,13.5289,11.1383
2021-01-07,5513.66,52019372324550.38,39944258379373,16.8862,0.7682,19.7111,13.5284,11.1383
2021-01-06,5417.67,51239933682632.69,39287399917338,16.6332,0.7629,19.7111,13.528,11.1383
2021-01-05,5368.5,50726601504502.24,38885519768173,16.4665,0.7569,19.7111,13.5264,11.1383
2021-01-04,5267.72,50002293603174.71,38272007058811,16.2314,0.7497,19.7111,13.5249,11.1383
2020-12-31,5211.29,49599051173675.63,37949781201987,16.1005,0.7444,19.7117,13.5229,11.1358
2020-12-30,5113.71,48733379632483,37303922481145,15.8195,0.7274,19.7117,13.521,11.1358
2020-12-29,5042.94,48205617825849.99,36855300869620,15.6482,0.7119,19.7117,13.5203,11.1358
2020-12-28,5064.41,48409347705752.914,37014928021852,15.7143,0.7189,19.7117,13.5196,11.1358
2020-12-25,5042.01,48244232504103.61,36785678955383,15.6607,0.7133,19.7117,13.5192,11.1358
2020-12-24,5000.02,47871175575733.52,36477305700135,15.5396,0.7007,19.7229,13.5188,11.1342
2020-12-23,5007.12,47942669228318.46,36522389779493,15.5628,0.7035,19.7229,13.5171,11.1342
2020-12-22,4964.77,47538835002205.45,36263694379761,15.4317,0.6898,19.7229,13.5155,11.1342
2020-12-21,5046.84,48375032690764.08,36831108260710,15.7032,0.7177,19.7229,13.5154,11.1342
2020-12-18,4999.97,48020345858236.99,36521125754983,15.588,0.7072,19.7229,13.5154,11.1342
2020-12-17,5017.48,48184744897192.96,36647205730598,15.6414,0.7118,19.7503,13.5148,11.1325
2020-12-16,4953.87,47636901148120.13,36213860145929,15.4636,0.6947,19.7503,13.5141,11.1325
2020-12-15,4945.1,47563164231790.64,36126767598258,15.4396,0.6912,19.7503,13.5138,11.1325
2020-12-14,4934.84,47582488888923.87,36076681701382,15.4459,0.6919,19.7503,13.5136,11.1325
2020-12-11,4889.63,46134227278898.086,35435471227011,15.0114,0.6551,19.7503,13.5134,11.1325
2020-12-10,4940.52,46508076355235.4,35730200350615,15.1331,0.6663,19.7661,13.5132,11.131
2020-12-09,4942.7,46581838256777.35,35715937111624,15.1571,0.6675,19.7661,13.512,11.131
2020-12-08,5009.88,47112623783133.2,36125002707898,15.3298,0.6814,19.7661,13.5108,11.131
2020-12-07,5022.24,47272162662775.516,36179695208051,15.3817,0.6855,19.7661,13.5106,11.131
2020-12-04,5065.92,47750367119818.35,36498525132827,15.5373,0.7004,19.7661,13.5104,11.131
2020-12-03,5057.06,47763300173726.13,36447847951515,15.5415,0.7019,19.7671,13.5093,11.1305
2020-12-02,5067.14,47874791644531.95,36541463280047,15.5778,0.7044,19.7671,13.5082,11.1305
2020-12-01,5067.1,47960627849665.68,36577184722242,15.6057,0.7075,19.7671,13.5081,11.1305
2020-11-30,4960.25,47026009141475.3,35873118780983,15.3016,0.679,19.7671,13.5079,11.1305
2020-11-27,4980.77,47206416897756.88,36071594746012,15.3603,0.685,19.7671,13.5074,11.1305
2020-11-26,4919.59,46482716588119.87,35551836923141,15.1248,0.6673,19.7837,13.507,11.1251
2020-11-25,4910.7,46362040395352.484,35459533149756,15.0856,0.6635,19.7837,13.5069,11.1251
2020-11-24,4974.29,46845445061858.09,35882466326763,15.2428,0.675,19.7837,13.5069,11.1251
2020-11-23,5005.03,47101815765166.484,36078775474571,15.3263,0.6815,19.7837,13.5065,11.1251
2020-11-20,4943.29,46520262727103.97,35625914828237,15.137,0.6685,19.7837,13.5062,11.1251
